0118,D,8144.514,11402.3196,93.61510345,55,32,87,121.8,180,0.676666667,0.672727273,37,0.672727273,0,0,0,0,7,0.127272727,9,0.163636364,2,0.036363636,124,8,66,0,69,20.90909091,20,1.045454546,56,24.21875,10.85275862,22,0.49330721,,,1150,0,0,775,0,374,566.514,944.19,3960,44,209,38,,,2/20/2018
0120,E,4788.682,6704.1548,90.35249057,28,25,53,74.2,175,0.424,0.75,21,0.75,0,0,0,0,2,0.071428571,5,0.178571429,0,0,126,4,39,0,85,19.10714286,20,0.955357143,42,24,12.9145283,22,0.587024014,,,535,0,0,600,0,378.14,410.682,684.47,3850,20,208,10,,,2/20/2018
0121,C,11404.412,15966.1768,94.25133884,82,39,121,169.4,270,0.627407407,0.829268293,68,0.829268293,0,0,0,0,9,0.109756098,5,0.06097561,0,0,127,25,66,0,99,16.34146342,20,0.817073171,49,25,8.380330579,22,0.380924117,,,1340,0,0,975,0,976.37,608.412,1014.02,5940,1,305,46,,,2/20/2018
0123,C,11067.882,15495.0348,97.94585841,80,33,113,158.2,270,0.585925926,0.8375,67,0.8375,0,0,0,0,4,0.05,8,0.1,1,0.0125,127,24,117,0,105,15.125,20,0.75625,58,23.48484849,15.8979646,22,0.722634755,,,1210,0,0,775,0,1272.68,1077.882,1796.47,5940,2,283,46,,,2/20/2018
0124,D,6656.292,9318.8088,99.34764179,51,16,67,93.8,140,0.67,0.843137255,43,0.843137255,0,0,0,0,2,0.039215686,6,0.117647059,0,0,107,7,41,0,67,19.60784314,20,0.980392157,40,25,11.8480597,22,0.538548168,,,1000,0,0,400,0,310.97,476.292,793.82,3600,2,149,27,,,2/20/2018
0125,D,9151.346,12811.8844,92.43783838,59,40,99,138.6,180,0.77,0.711864407,42,0.711864407,0,0,0,0,6,0.101694915,11,0.186440678,0,0,122,29,89,0,91,16.27118644,20,0.813559322,30,25,14.28191919,22,0.649178145,,,960,0,0,1000,0,781.45,848.346,1413.91,3960,0,157,47,,,2/20/2018
0126,E,8331.302,11663.8228,91.55276923,56,35,91,127.4,120,1.061666667,0.767857143,43,0.767857143,0,0,0,0,7,0.125,5,0.089285714,1,0.017857143,85,19,44,0,66,19.375,20,0.96875,20,24.28571429,9.08978022,22,0.413171828,,,1085,0,0,850,0,387.64,496.302,827.17,3600,1,113,29,,,2/20/2018
0127,B,17468.998,24456.5972,100.9768671,130,43,173,242.2,280,0.865,0.907692308,118,0.907692308,0,0,0,0,4,0.030769231,8,0.061538462,0,0,127,20,104,0,119,21.80769231,20,1.090384615,65,23.8372093,10.33716763,22,0.469871256,,,2835,0,0,1025,0,722.05,1072.998,1788.33,6160,2,297,77,,,2/20/2018
0128,D,7386.204,10340.6856,84.89889655,43,44,87,121.8,120,1.015,0.860465116,37,0.860465116,0,0,0,0,0,0,6,0.139534884,0,0,74,11,73,0,40,19.41860465,20,0.970930233,34,24.43181818,13.45218391,22,0.611462905,,,835,0,0,1075,0,469.99,702.204,1170.34,3600,0,194,32,,,2/20/2018
0129,D,7403.18,10364.452,101.4134247,53,20,73,102.2,120,0.851666667,0.811320755,43,0.811320755,0,0,0,0,6,0.113207547,4,0.075471698,0,0,69,14,49,0,31,19.05660377,20,0.952830189,37,25,12.19589041,22,0.554358655,,,1010,0,0,500,0,369.3,534.18,890.3,3600,0,58,13,,,2/20/2018
0130,C,1880.982,2633.3748,94.0491,16,4,20,28,100,0.28,0.625,10,0.625,0,0,0,0,3,0.1875,3,0.1875,0,0,67,7,3,0,41,7.8125,20,0.390625,26,25,3.2485,22,0.147659091,,,125,0,0,100,0,304.97,38.982,64.97,3600,3,22,8,,,2/20/2018
0131,B,30055.548,42077.7672,101.5390135,220,76,296,414.4,380,1.090526316,0.940909091,207,0.940909091,0,0,0,0,5,0.022727273,7,0.031818182,1,0.004545455,127,28,237,0,127,19.25,20,0.9625,87,25,11.64722973,22,0.529419533,,,4235,0,0,1900,0,2366.01,2068.548,3447.58,8360,1,503,159,,,2/20/2018
0132,D,6225.034,8715.0476,95.76975385,44,21,65,91,130,0.7,0.795454545,35,0.795454545,0,0,0,0,3,0.068181818,5,0.113636364,1,0.022727273,127,12,43,0,73,19.54545455,20,0.977272727,54,22.61904762,11.97523077,22,0.544328671,,,860,0,0,475,0,329.19,467.034,778.39,3600,30,128,29,,,2/20/2018
0136,D,11455.37,16037.518,88.80131783,59,70,129,180.6,180,1.003333333,0.915254237,54,0.915254237,0,0,0,0,5,0.084745763,0,0,0,0,115,16,102,0,54,24.49152542,20,1.224576271,61,24.28571429,14.02286822,22,0.637403101,,,1445,0,0,1700,0,300.49,1085.37,1808.95,3960,1,455,39,,,2/20/2018
0137,C,12575.012,17605.0168,91.12327536,67,71,138,193.2,200,0.966,0.940298507,63,0.940298507,0,0,0,0,2,0.029850746,1,0.014925373,1,0.014925373,127,14,123,0,73,24.62686567,20,1.231343284,66,23.94366197,15.5073913,22,0.704881423,,,1650,0,0,1700,0,242.9,1284.012,2140.02,4400,0,523,69,,,2/20/2018
0138,D,9027.986,12639.1804,86.80755769,50,54,104,145.6,170,0.856470588,0.84,42,0.84,0,0,0,0,2,0.04,0,0,6,0.12,99,10,79,0,36,24.3,20,1.215,63,25,14.07028846,22,0.639558566,,,1215,0,0,1350,0,151.2,877.986,1463.31,3740,0,455,30,,,2/20/2018
